Depth ID Strategy Param SolutionLength Visited Processed Depth Time
3 5 dfs uldr 19 43705 43688 20 1.601 
3 5 dfs ulrd 3 213840 213838 20 8.507 
3 6 astr hamm 3 10 4 3 0.001 
3 6 astr manh 3 10 4 3 0.001 
3 6 bfs drlu 3 35 16 0 0.001 
3 6 bfs drul 3 35 16 0 0.001 
3 6 bfs ludr 3 63 30 0 0.002 
3 6 bfs lurd 3 72 35 0 0.002 
3 6 bfs rdlu 3 44 21 0 0.002 
3 6 bfs rdul 3 44 21 0 0.002 
3 6 bfs uldr 3 63 30 0 0.002 
3 6 bfs ulrd 3 72 35 0 0.003 
3 6 dfs drlu 3 10 4 3 0.0 
3 6 dfs drul 3 10 4 3 0.0 
3 6 dfs ludr 3 168143 168141 20 6.397 
3 6 dfs lurd 11 385211 385210 20 13.728 
3 6 dfs rdlu 3 199748 199745 20 6.369 
3 6 dfs rdul 3 180489 180486 20 6.136 
3 6 dfs uldr 3 298934 298932 20 11.238 
3 6 dfs ulrd 3 322224 322224 20 12.615 
3 7 astr hamm 3 10 4 3 0.001 
3 7 astr manh 3 10 4 3 0.001 
3 7 bfs drlu 3 41 19 0 0.001 
3 7 bfs drul 3 41 19 0 0.001 
3 7 bfs ludr 3 69 33 0 0.002 
3 7 bfs lurd 3 66 32 0 0.002 
3 7 bfs rdlu 3 38 18 0 0.001 
3 7 bfs rdul 3 38 18 0 0.001 
3 7 bfs uldr 3 69 33 0 0.002 
3 7 bfs ulrd 3 66 32 0 0.002 
3 7 dfs drlu 3 140599 140595 20 4.445 
3 7 dfs drul 3 166961 166957 20 7.983 
3 7 dfs ludr 3 299234 299233 20 9.495 
3 7 dfs lurd 3 298935 298934 20 9.906 
3 7 dfs rdlu 11 38076 38067 20 1.306 
3 7 dfs rdul 11 26 12 11 0.001 
3 7 dfs uldr 3 355653 355652 20 12.702 
3 7 dfs ulrd 11 188803 188799 20 6.454 
3 8 astr hamm 3 9 4 3 0.001 
3 8 astr manh 3 9 4 3 0.001 
3 8 bfs drlu 3 29 13 0 0.001 
3 8 bfs drul 3 39 17 0 0.001 
3 8 bfs ludr 3 40 18 0 0.001 
3 8 bfs lurd 3 40 18 0 0.001 
3 8 bfs rdlu 3 29 13 0 0.001 
3 8 bfs rdul 3 39 17 0 0.001 
3 8 bfs uldr 3 50 22 0 0.002 
3 8 bfs ulrd 3 50 22 0 0.004 
3 8 dfs drlu 19 446 432 20 0.014 
3 8 dfs drul 9 20 10 9 0.002 
3 8 dfs ludr 3 213840 213838 20 7.821 
3 8 dfs lurd 19 43705 43688 20 2.457 
3 8 dfs rdlu 19 11405 11392 20 0.41 
3 8 dfs rdul 9 20 10 9 0.001 
3 8 dfs uldr 3 297624 297623 20 13.192 
3 8 dfs ulrd 3 228650 228649 20 7.723 
3 9 astr hamm 3 9 4 3 0.001 
3 9 astr manh 3 9 4 3 0.001 
3 9 bfs drlu 3 35 16 0 0.001 
3 9 bfs drul 3 35 16 0 0.001 
3 9 bfs ludr 3 59 28 0 0.002 
3 9 bfs lurd 3 72 35 0 0.003 
3 9 bfs rdlu 3 48 23 0 0.002 
3 9 bfs rdul 3 48 23 0 0.002 
3 9 bfs uldr 3 59 28 0 0.002 
3 9 bfs ulrd 3 72 35 0 0.003 
3 9 dfs drlu 3 9 4 3 0.0 
3 9 dfs drul 3 9 4 3 0.001 
3 9 dfs ludr 3 247140 247139 20 7.845 
3 9 dfs lurd 3 354163 354163 20 11.705 
3 9 dfs rdlu 15 62988 62973 20 2.004 
3 9 dfs rdul 3 138945 138941 20 4.394 
3 9 dfs uldr 3 298057 298056 20 11.57 
3 9 dfs ulrd 3 226104 226104 20 7.544 
3 10 astr hamm 3 7 4 3 0.001 
